121, 0.55178571428571 0.55165496489468 0.527583 0.870612;
122, 0.54821428571429 0.63791374122367 0.628887 0.863591;
123, 0.55119047619048 0.65095285857573 0.646941 0.864594;
124, 0.55238095238095 0.58575727181545 0.572718 0.8666;
125, 0.4577380952381 0.49348044132397 0.490471 0.860582;
126, 0.37142857142857 0.53861584754263 0.544634 0.848546;
127, 0.35833333333333 0.57472417251755 0.590772 0.850552;
128, 0.28690476190476 0.52256770310933 0.54664 0.84654;
129, 0.27619047619048 0.47743229689067 0.497492 0.851555;
130, 0.27440476190476 0.43430290872618 0.461384 0.85657;
131, 0.26488095238095 0.44734202607823 0.465396 0.855567;
132, 0.2327380952381 0.50351053159478 0.497492 0.862588;
133, 0.19702380952381 0.59077231695085 0.571715 0.853561;
134, 0.19107142857143 0.66098294884654 0.642929 0.8666;
135, 0.19642857142857 0.679037111334 0.684052 0.879639;
136, 0.21309523809524 0.63189568706118 0.661986 0.893681;
137, 0.21190476190476 0.58876629889669 0.60682 0.910732;
138, 0.23809523809524 0.54262788365095 0.57673 0.919759;
139, 0.29107142857143 0.55967903711133 0.581745 0.919759;
140, 0.29642857142857 0.54363089267803 0.571715 0.919759;
141, 0.35714285714286 0.53059177532598 0.547643 0.919759;
142, 0.48392857142857 0.55767301905717 0.550652 0.912738;
143, 0.5577380952381 0.59578736208626 0.567703 0.911735;
144, 0.54880952380952 0.54864593781344 0.53661 0.923771;
145, 0.56666666666667 0.52256770310933 0.456369 0.935807;
146, 0.56369047619048 0.52156469408225 0.450351 0.938816;
147, 0.5577380952381 0.53259779338014 0.400201 0.943832;
148, 0.56011904761905 0.53761283851555 0.428285 0.94985;
149, 0.56011904761905 0.53159478435306 0.429288 0.948847;
150, 0.57440476190476 0.60481444332999 0.547643 0.940822;
151, 0.63988095238095 0.65095285857573 0.602808 0.908726;
152, 0.65357142857143 0.54463390170512 0.487462 0.894684;
153, 0.64166666666667 0.46639919759278 0.407222 0.888666;
154, 0.63095238095238 0.39919759277833 0.38014 0.868606;
155, 0.61666666666667 0.48846539618857 0.471414 0.858576;
156, 0.6327380952381 0.4653961885657 0.451354 0.867603;
157, 0.63333333333333 0.40320962888666 0.382146 0.877633;
158, 0.60952380952381 0.35907723169509 0.327984 0.881645;
159, 0.60535714285714 0.3741223671013 0.312939 0.881645;
160, 0.60595238095238 0.37311935807422 0.291876 0.879639;
161, 0.60833333333333 0.37211634904714 0.28987 0.877633;
162, 0.61428571428571 0.36108324974925 0.280843 0.867603;
163, 0.62142857142857 0.35506519558676 0.232698 0.858576;
164, 0.62797619047619 0.35506519558676 0.18656 0.85657;
165, 0.62857142857143 0.35406218655968 0.147442 0.849549;
166, 0.63154761904762 0.34603811434303 0.141424 0.844534;
167, 0.57797619047619 0.34704112337011 0.136409 0.841525;
168, 0.5077380952381 0.37111334002006 0.135406 0.842528;
169, 0.42380952380952 0.43229689067202 0.140421 0.85657;
170, 0.34940476190476 0.48846539618857 0.168506 0.879639;
171, 0.30952380952381 0.5346038114343 0.194584 0.899699;
172, 0.27916666666667 0.57572718154463 0.212638 0.905717;
173, 0.25178571428571 0.61885656970913 0.203611 0.918756;
174, 0.24583333333333 0.62186559679037 0.185557 0.922768;
175, 0.24285714285714 0.61785356068205 0.17653 0.914744;
176, 0.24107142857143 0.61083249749248 0.159478 0.909729;
177, 0.25654761904762 0.59578736208626 0.148445 0.90672;
